OPERATOR NAME,NUMBER OF EMPLOYEES 2023,TOTAL REVENUE 2023 (£m),SOURCE
anglian water,5295,1494.9,https://www.anglianwater.co.uk/siteassets/household/about-us/our-reports/annual-integrated-report-2024---financials.pdf
severn trent water ltd,6998,1812.673,https://www.severntrent.com/content/dam/stw/regulatory-library/severn-trent-water-annual-performance-report-revised-2023.pdf
thames water utilities ltd,7242,"2,265.20",https://www.thameswater.co.uk/media-library/home/about-us/investors/our-results/2024-reports/thames-water-annual-report-2023-24.pdf
northumbrian water ltd,3103,861.2,https://www.nwg.co.uk/globalassets/corporate/apr/2024/nwl-annual-report-and-financial-statements-2023-24.pdf
cumbria waste management ltd,198,36.724,https://s3.eu-west-2.amazonaws.com/document-api-images-live.ch.gov.uk/docs/jeP7M4QaxFDl5Tg46eQgdcND8sOSKgxo8pkzyD-Emp8/application-pdf?X-Amz-Algorithm=AWS4-HMAC-SHA256&X-Amz-Credential=ASIAWRGBDBV3E7IDBVG3%2F20250610%2Feu-west-2%2Fs3%2Faws4_request&X-Amz-Date=20250610T171030Z&X-Amz-Expires=60&X-Amz-Security-Token=IQoJb3JpZ2luX2VjEOX%2F%2F%2F%2F%2F%2F%2F%2F%2F%2FwEaCWV1LXdlc3QtMiJHMEUCIGwha68DoXeTfYMYOxpB9v0hBjEAVuihIPubulRHLigRAiEA2b9v9tVb0iQJxY4AOKpO4N4WBIXuR8o0g0CKyBOawCEqxAUIvv%2F%2F%2F%2F%2F%2F%2F%2F%2F%2FARAFGgw0NDkyMjkwMzI4MjIiDOgJhQxVFhX4s4ZKoSqYBVc7Eln2OWpqVPcAYXKsIimbRrIvOlK5SvGxlsz%2B%2FOjODvsdk7PYrTkHyklST%2BCX8WpnY7PXx2wM%2Bp4h435Vguge0xYa6SWAdDUkSgfdY7bzcO2jsC3Uuo1hmp6EIrclFVy7vR8LeaLpQtXwS46cnFCIp2hqo1RzFTDZWUQ18kamCzBWTSVAXjD3HvJd%2F7zGDUKH5E8nnHIDVcyMLvLZrpSdhQs5QIykvd0q%2BYpjynQT099TTX%2FCpvmTXiesXv2KwdlK3%2BpcOp2Y2de%2FrJOpAZfyCYuAs%2FInpjeZf5HJXzPqsDOx8kieciL%2FcU2OPmeP7h3FHd6B47noBidEhPyVfcvLc4eE01GRFxPyyjg1c58a29jcxKEb%2BISk%2B4T8ug6N%2B9lB5i1YHseqXv8ACP%2FLJnUf7C22%2FJnjGdcBtdDxHnU1yrzl1OPfLuej%2FxAG%2FTFV6T6NAcdhnJXzptlBBAFSXKspncGxkV%2BdoTSJy1XmhyiwVs7W%2BQ90LB8PxBKnlP9Mb0WOnnH4W8u0t6qoxz4DuvTPbcL4q%2Bkliw0zXudAcVDBv3pp%2B%2BV1wRmGJA77gSVEZnmi905Ue5hbrDpMjqa3cGHkVz7bDt9pKt%2FHwSOkHmJQLsnP%2FiXudr2KuEckAXzHT9h5CqGOSXLVK3z2uu0pZta5j6Zg1aCEji1h1WfWgkYBLgqVH5J6k%2BKrxMU6hGbQNdUj7vJakQK97yyO%2BhbbG67fx7gzrUbsbrDVwdUP3NCvHSv4G%2BFcHtaJKQ4QApBaVTt%2FW91HMpSjLDOBTDK4frnvMxFpVzBKAFgdEdiHe322CASyKcPiLWQi8zKWdZiz%2BRfudGA7x9%2FKZdCD2WApQBWnkgJ0loK9b2gf29RsvSgSkBcq1L8e6SswmNmgwgY6sQFXJEFVHXDKwD6hZbhxFrPM8cZfzd9XZX1IxmiWKdBjCza17EPCtcuUMI7jrEHiYR6neQQk3pGfatYJbx0dXhM2XxuHxM1jodPpaf0Us8G09b8wqwCCnHZy53d%2FwCG3B1dC7jiZ2FgdAFqSWUwVHLXvj1JNmGRpnM8RslF0EtzcKUvlWmkTQrLqRKN3wP58oQCDp5VyG5t%2FlvoG9hGE%2BLe4nX1O7qqnuo4SzlKfh5%2FZrWI%3D&X-Amz-SignedHeaders=host&response-content-disposition=inline%3Bfilename%3D%22companies_house_document.pdf%22&X-Amz-Signature=7a137fcab51831bb5e0a67ed311090f922c6804a6982252b9691d4737320f21f
united utilities water plc,5975,1824.4,https://www.unitedutilities.com/globalassets/documents/pdf/integrated-annual-report-2023.pdf
wessex water,2653,530.5,https://corporate.wessexwater.co.uk/media/nktf3g4u/annual-report-and-accounts-2023-24.pdf
british steel limited,4271,1259.703,https://s3.eu-west-2.amazonaws.com/document-api-images-live.ch.gov.uk/docs/3lmrNlJH4tTOb2X4qBQvvkO-D2hdVLKSuW2HbY56yUY/application-pdf?X-Amz-Algorithm=AWS4-HMAC-SHA256&X-Amz-Credential=ASIAWRGBDBV3E7IDBVG3%2F20250610%2Feu-west-2%2Fs3%2Faws4_request&X-Amz-Date=20250610T171753Z&X-Amz-Expires=60&X-Amz-Security-Token=IQoJb3JpZ2luX2VjEOX%2F%2F%2F%2F%2F%2F%2F%2F%2F%2FwEaCWV1LXdlc3QtMiJHMEUCIGwha68DoXeTfYMYOxpB9v0hBjEAVuihIPubulRHLigRAiEA2b9v9tVb0iQJxY4AOKpO4N4WBIXuR8o0g0CKyBOawCEqxAUIvv%2F%2F%2F%2F%2F%2F%2F%2F%2F%2FARAFGgw0NDkyMjkwMzI4MjIiDOgJhQxVFhX4s4ZKoSqYBVc7Eln2OWpqVPcAYXKsIimbRrIvOlK5SvGxlsz%2B%2FOjODvsdk7PYrTkHyklST%2BCX8WpnY7PXx2wM%2Bp4h435Vguge0xYa6SWAdDUkSgfdY7bzcO2jsC3Uuo1hmp6EIrclFVy7vR8LeaLpQtXwS46cnFCIp2hqo1RzFTDZWUQ18kamCzBWTSVAXjD3HvJd%2F7zGDUKH5E8nnHIDVcyMLvLZrpSdhQs5QIykvd0q%2BYpjynQT099TTX%2FCpvmTXiesXv2KwdlK3%2BpcOp2Y2de%2FrJOpAZfyCYuAs%2FInpjeZf5HJXzPqsDOx8kieciL%2FcU2OPmeP7h3FHd6B47noBidEhPyVfcvLc4eE01GRFxPyyjg1c58a29jcxKEb%2BISk%2B4T8ug6N%2B9lB5i1YHseqXv8ACP%2FLJnUf7C22%2FJnjGdcBtdDxHnU1yrzl1OPfLuej%2FxAG%2FTFV6T6NAcdhnJXzptlBBAFSXKspncGxkV%2BdoTSJy1XmhyiwVs7W%2BQ90LB8PxBKnlP9Mb0WOnnH4W8u0t6qoxz4DuvTPbcL4q%2Bkliw0zXudAcVDBv3pp%2B%2BV1wRmGJA77gSVEZnmi905Ue5hbrDpMjqa3cGHkVz7bDt9pKt%2FHwSOkHmJQLsnP%2FiXudr2KuEckAXzHT9h5CqGOSXLVK3z2uu0pZta5j6Zg1aCEji1h1WfWgkYBLgqVH5J6k%2BKrxMU6hGbQNdUj7vJakQK97yyO%2BhbbG67fx7gzrUbsbrDVwdUP3NCvHSv4G%2BFcHtaJKQ4QApBaVTt%2FW91HMpSjLDOBTDK4frnvMxFpVzBKAFgdEdiHe322CASyKcPiLWQi8zKWdZiz%2BRfudGA7x9%2FKZdCD2WApQBWnkgJ0loK9b2gf29RsvSgSkBcq1L8e6SswmNmgwgY6sQFXJEFVHXDKwD6hZbhxFrPM8cZfzd9XZX1IxmiWKdBjCza17EPCtcuUMI7jrEHiYR6neQQk3pGfatYJbx0dXhM2XxuHxM1jodPpaf0Us8G09b8wqwCCnHZy53d%2FwCG3B1dC7jiZ2FgdAFqSWUwVHLXvj1JNmGRpnM8RslF0EtzcKUvlWmkTQrLqRKN3wP58oQCDp5VyG5t%2FlvoG9hGE%2BLe4nX1O7qqnuo4SzlKfh5%2FZrWI%3D&X-Amz-SignedHeaders=host&response-content-disposition=inline%3Bfilename%3D%22companies_house_document.pdf%22&X-Amz-Signature=41a211dbec49a6edebc1ba7228c00af179f28925fc6a1f83700d3a392e14c374
urbaser environmental limited,1792,77.264,https://s3.eu-west-2.amazonaws.com/document-api-images-live.ch.gov.uk/docs/gAE70tG1_rXPsGpWINNioxCyF7Tsr6b5cRBllrIFMsc/application-pdf?X-Amz-Algorithm=AWS4-HMAC-SHA256&X-Amz-Credential=ASIAWRGBDBV3E7IDBVG3%2F20250610%2Feu-west-2%2Fs3%2Faws4_request&X-Amz-Date=20250610T172315Z&X-Amz-Expires=60&X-Amz-Security-Token=IQoJb3JpZ2luX2VjEOX%2F%2F%2F%2F%2F%2F%2F%2F%2F%2FwEaCWV1LXdlc3QtMiJHMEUCIGwha68DoXeTfYMYOxpB9v0hBjEAVuihIPubulRHLigRAiEA2b9v9tVb0iQJxY4AOKpO4N4WBIXuR8o0g0CKyBOawCEqxAUIvv%2F%2F%2F%2F%2F%2F%2F%2F%2F%2FARAFGgw0NDkyMjkwMzI4MjIiDOgJhQxVFhX4s4ZKoSqYBVc7Eln2OWpqVPcAYXKsIimbRrIvOlK5SvGxlsz%2B%2FOjODvsdk7PYrTkHyklST%2BCX8WpnY7PXx2wM%2Bp4h435Vguge0xYa6SWAdDUkSgfdY7bzcO2jsC3Uuo1hmp6EIrclFVy7vR8LeaLpQtXwS46cnFCIp2hqo1RzFTDZWUQ18kamCzBWTSVAXjD3HvJd%2F7zGDUKH5E8nnHIDVcyMLvLZrpSdhQs5QIykvd0q%2BYpjynQT099TTX%2FCpvmTXiesXv2KwdlK3%2BpcOp2Y2de%2FrJOpAZfyCYuAs%2FInpjeZf5HJXzPqsDOx8kieciL%2FcU2OPmeP7h3FHd6B47noBidEhPyVfcvLc4eE01GRFxPyyjg1c58a29jcxKEb%2BISk%2B4T8ug6N%2B9lB5i1YHseqXv8ACP%2FLJnUf7C22%2FJnjGdcBtdDxHnU1yrzl1OPfLuej%2FxAG%2FTFV6T6NAcdhnJXzptlBBAFSXKspncGxkV%2BdoTSJy1XmhyiwVs7W%2BQ90LB8PxBKnlP9Mb0WOnnH4W8u0t6qoxz4DuvTPbcL4q%2Bkliw0zXudAcVDBv3pp%2B%2BV1wRmGJA77gSVEZnmi905Ue5hbrDpMjqa3cGHkVz7bDt9pKt%2FHwSOkHmJQLsnP%2FiXudr2KuEckAXzHT9h5CqGOSXLVK3z2uu0pZta5j6Zg1aCEji1h1WfWgkYBLgqVH5J6k%2BKrxMU6hGbQNdUj7vJakQK97yyO%2BhbbG67fx7gzrUbsbrDVwdUP3NCvHSv4G%2BFcHtaJKQ4QApBaVTt%2FW91HMpSjLDOBTDK4frnvMxFpVzBKAFgdEdiHe322CASyKcPiLWQi8zKWdZiz%2BRfudGA7x9%2FKZdCD2WApQBWnkgJ0loK9b2gf29RsvSgSkBcq1L8e6SswmNmgwgY6sQFXJEFVHXDKwD6hZbhxFrPM8cZfzd9XZX1IxmiWKdBjCza17EPCtcuUMI7jrEHiYR6neQQk3pGfatYJbx0dXhM2XxuHxM1jodPpaf0Us8G09b8wqwCCnHZy53d%2FwCG3B1dC7jiZ2FgdAFqSWUwVHLXvj1JNmGRpnM8RslF0EtzcKUvlWmkTQrLqRKN3wP58oQCDp5VyG5t%2FlvoG9hGE%2BLe4nX1O7qqnuo4SzlKfh5%2FZrWI%3D&X-Amz-SignedHeaders=host&response-content-disposition=inline%3Bfilename%3D%22companies_house_document.pdf%22&X-Amz-Signature=f6d3c35701b95ec8432604c214164eb52912c9ca69c7ed1b5693cb2a8bc751cd
southern water,2480,792.5,https://www.southernwater.co.uk/media/batkxaqs/annual-report-and-financial-statements-2022-23.pdf
