AUTHORISATION ID / PERMIT ID,PRIMARY INDUSTRY ACTIVITY DESCRIPTION,OPERATOR NAME,SITE ADDRESS,SITE POSTCODE,EASTING,NORTHING,EA AREA NAME,ROUTE NAME,SUBSTANCE NAME,REPORTING THRESHOLD (kg),QUANTITY RELEASED (kg),REGULATED INDUSTRY SECTOR,REGULATED INDUSTRY SUB SECTOR,PNEC (µg/L)
BR5035IT,"COATING, PRINTING AND TEXTILES; PRE-TREATING BY WASHING ETC >10T/DAY",Calder Textiles Limited,Anchor House Thornhill Road Dewsbury West Yorkshire,WF12 9QE,424000,420500,Yorkshire,Wastewater,Cypermethrin,0.005,0.008,Paper and textiles,Textiles,1.3e-05
BJ7433IQ,"PAPER, PULP AND BOARD; PRODUCING PAPER/BOARD >20T/D",Smurfit Kappa UK Limited,Snodland Paper Mill Chp Mill Street Snodland Kent,ME6 5AX,570780,161600,"Kent, South London and East Sussex",Controlled Waters,Cypermethrin,0.005,0.04628,Paper and textiles,Paper & Pulp,1.3e-05
WRA7409,,Yorkshire Water Services Limited,HUDDERSFIELD STW,HD2 1FG,417124,419244,Yorkshire,Controlled Waters,Cypermethrin,0.005,0.05,Water Industry,Water Industry,1.3e-05
BR4977IH,"COATING, PRINTING AND TEXTILES; PRE-TREATING BY WASHING ETC >10T/DAY",Bulmer & Lumb Group Ltd,Buttershaw Textiles Royds Hall Lane Bradford West Yorkshire,BD6 2NE,414340,429240,Yorkshire,Wastewater,Cypermethrin,0.005,0.0731,Paper and textiles,Textiles,1.3e-05
BP3530RC,"COATING, PRINTING AND TEXTILES; PRE-TREATING BY WASHING ETC >10T/DAY",Harrison Gardner Dyers and Winders Limited,Royds Hall Lane Site Royds Hall Lane Buttershaw Bradford West Yorkshire,BD6 2NE,414300,429150,Yorkshire,Wastewater,Cypermethrin,0.005,0.088,Paper and textiles,Textiles,1.3e-05
WRA6925,,Yorkshire Water Services Limited,BRADFORD ESHOLT STW,BD10 0PB,419030,439081,Yorkshire,Controlled Waters,Cypermethrin,0.005,0.09,Water Industry,Water Industry,1.3e-05
016983122,,UNITED UTILITIES WATER PLC,WARRINGTON NORTH,,358110,386960,Greater Manchester Merseyside and Cheshire,Controlled Waters,Fluoranthene,0.1,0.1,Water Industry,Water Industry,
CNTD.0044,,THAMES WATER UTILITIES LTD,ESHER STW,KT10 8AU,513500,166000,"Kent, South London and East Sussex",Controlled Waters,Fluoranthene,0.1,0.1,Water Industry,Water Industry,
S/07/56066/R,,SEVERN TRENT WATER LTD,Worcester STW,WR2 4ZP,253530,384361,West Midlands,Controlled Waters,Fluoranthene,0.1,0.1,Water Industry,Water Industry,
CNTW.0531,,Anglian Water,TILBURY STW,,565670,175350,East Anglia,Controlled Waters,Fluoranthene,0.1,0.1,Water Industry,Water Industry,
010005,,Wessex Water,BATH (SALTFORD) STW,BS31 3ER,368900,168800,Wessex,Controlled Waters,Fluoranthene,0.1,0.1,Water Industry,Water Industry,
AW2TSE9961-2,,Anglian Water,Chelmsford(Brookend) STW,,584000,208200,East Anglia,Controlled Waters,Fluoranthene,0.1,0.1,Water Industry,Water Industry,
BS3549IM,"COATING, PRINTING AND TEXTILES; PRE-TREATING BY WASHING ETC >10T/DAY",PREMIER HANK DYERS LTD,Woodhead Road Dyers Bottoms Mills Woodhead Road Holme West Yorkshire,HD9 2PU,413180,407500,Yorkshire,Wastewater,Cypermethrin,0.005,0.104,Paper and textiles,Textiles,1.3e-05
A.787/S/CH/97,,Southern Water,Ford (Bognor/Littlehampton) STW,BN18 0HY,499490,103030,Solent and South Downs,Controlled Waters,Fluoranthene,0.1,0.11,Water Industry,Water Industry,
A1106/S/P/99,,Southern Water,Langley Point STW - Eastbourne,BN21 1SA,564120,100950,Solent and South Downs,Controlled Waters,Fluoranthene,0.1,0.11,Water Industry,Water Industry,
