AUTHORISATION ID / PERMIT ID,ACTIVITY DESCRIPTION,OPERATOR NAME,SITE ADDRESS,SITE POSTCODE,EASTING,NORTHING,EA AREA NAME,ROUTE NAME,SUBSTANCE NAME,REPORTING THRESHOLD (kg),QUANTITY RELEASED (kg),REGULATED INDUSTRY SECTOR,REGULATED INDUSTRY SUB SECTOR,PNEC (??g/L),Latitude,Longitude,REGION,COUNTY
VP3130BK,"WASTE LANDFILLING; >10 T/D WITH CAPACITY >25,000T EXCLUDING INERT WASTE",ALAB ENVIRONMENTAL SERVICES LIMITED,NETTLETON BOTTOM QUARRY Rothwell Lincolnshire,LN7 6SR,512730.0,397880.0,Lincolnshire and Northamptonshire,Controlled Waters,Cypermethrin,0.005,0.0,Landfill,Non Hazardous Landfill,1.3e-05,53.46560447,-0.303351536,East Midlands,Lincolnshire
VP3130BK,"WASTE LANDFILLING; >10 T/D WITH CAPACITY >25,000T EXCLUDING INERT WASTE",ALAB ENVIRONMENTAL SERVICES LIMITED,NETTLETON BOTTOM QUARRY Rothwell Lincolnshire,LN7 6SR,512730.0,397880.0,Lincolnshire and Northamptonshire,Controlled Waters,"Indeno(1,2,3-cd)pyrene",1.0,0.0,Landfill,Non Hazardous Landfill,,53.46560447,-0.303351536,East Midlands,Lincolnshire
VP3130BK,"WASTE LANDFILLING; >10 T/D WITH CAPACITY >25,000T EXCLUDING INERT WASTE",ALAB ENVIRONMENTAL SERVICES LIMITED,NETTLETON BOTTOM QUARRY Rothwell Lincolnshire,LN7 6SR,512730.0,397880.0,Lincolnshire and Northamptonshire,Controlled Waters,Fluoranthene,0.1,0.0,Landfill,Non Hazardous Landfill,,53.46560447,-0.303351536,East Midlands,Lincolnshire
VP3130BK,"WASTE LANDFILLING; >10 T/D WITH CAPACITY >25,000T EXCLUDING INERT WASTE",ALAB ENVIRONMENTAL SERVICES LIMITED,NETTLETON BOTTOM QUARRY Rothwell Lincolnshire,LN7 6SR,512730.0,397880.0,Lincolnshire and Northamptonshire,Controlled Waters,Benzo(a)pyrene,1.0,0.0,Landfill,Non Hazardous Landfill,,53.46560447,-0.303351536,East Midlands,Lincolnshire
AW5NF5179,,Anglian Water,Corby STW,,490600.0,288900.0,Lincolnshire and Northamptonshire,Controlled Waters,Fluoranthene,0.1,0.0,Water Industry,Water Industry,,52.4905002,-0.667077027,East Midlands,North Northamptonshire
AW5NF5179,,Anglian Water,Corby STW,,490600.0,288900.0,Lincolnshire and Northamptonshire,Controlled Waters,"Indeno(1,2,3-cd)pyrene",1.0,0.0,Water Industry,Water Industry,,52.4905002,-0.667077027,East Midlands,North Northamptonshire
AW5NF5179,,Anglian Water,Corby STW,,490600.0,288900.0,Lincolnshire and Northamptonshire,Controlled Waters,Benzo(a)pyrene,1.0,0.0,Water Industry,Water Industry,,52.4905002,-0.667077027,East Midlands,North Northamptonshire
ANNNF2073,,Anglian Water,Lincoln(Canwick) STW,,499810.0,370880.0,Lincolnshire and Northamptonshire,Controlled Waters,Fluoranthene,0.1,0.0,Water Industry,Water Industry,,53.22559823,-0.506398278,East Midlands,Lincolnshire
ANNNF2073,,Anglian Water,Lincoln(Canwick) STW,,499810.0,370880.0,Lincolnshire and Northamptonshire,Controlled Waters,"Indeno(1,2,3-cd)pyrene",1.0,0.0,Water Industry,Water Industry,,53.22559823,-0.506398278,East Midlands,Lincolnshire
ANNNF2073,,Anglian Water,Lincoln(Canwick) STW,,499810.0,370880.0,Lincolnshire and Northamptonshire,Controlled Waters,Benzo(a)pyrene,1.0,0.0,Water Industry,Water Industry,,53.22559823,-0.506398278,East Midlands,Lincolnshire
