AUTHORISATION ID / PERMIT ID,ACTIVITY DESCRIPTION,OPERATOR NAME,SITE ADDRESS,SITE POSTCODE,EASTING,NORTHING,EA AREA NAME,ROUTE NAME,SUBSTANCE NAME,REPORTING THRESHOLD (kg),QUANTITY RELEASED (kg),REGULATED INDUSTRY SECTOR,REGULATED INDUSTRY SUB SECTOR,EA AREA NAME LABEL,ROUTE NAME LABEL,REGULATED INDUSTRY SECTOR LABEL,REGULATED INDUSTRY SUB SECTOR LABEL,PNEC (µg/L),Latitude,Longitude,REGION
XP3705MV,Disposal of non-hazardous waste in a facility with a capacity of more than 50 tonnes per day by physico -chemical treatment. ,Syracuse Waste Ltd,Maple Lodge WWTW Denham Way Hertfordshire,WD3 9SQ,503860.0,192210.0,Hertfordshire and North London,Wastewater,"Indeno(1,2,3-cd)pyrene",1.0,0.0,Biowaste Treatment,Biowaste Treatment,5,3,1,0,,51.619141149126015,-0.5012195727141537,East of England
XP3705MV,Disposal of non-hazardous waste in a facility with a capacity of more than 50 tonnes per day by physico -chemical treatment. ,Syracuse Waste Ltd,Maple Lodge WWTW Denham Way Hertfordshire,WD3 9SQ,503860.0,192210.0,Hertfordshire and North London,Wastewater,Fluoranthene,0.1,0.0,Biowaste Treatment,Biowaste Treatment,5,3,1,0,,51.619141149126015,-0.5012195727141537,East of England
BV1178IB,DISPOSAL OF > 50 T/D NON-HAZARDOUS WASTE (> 100 T/D IF ONLY AD) INVOLVING BIOLOGICAL TREATMENT,Yorkshire Water Services Limited,Tadcaster Trade Treatment Works Ouston Lane Tadcaster North Yorkshire,LS24 8DP,449500.0,442800.0,Yorkshire,Controlled Waters,"Indeno(1,2,3-cd)pyrene",1.0,0.0,Biowaste Treatment,Biowaste Treatment,13,1,1,0,,53.87904276646648,-1.248527438737933,Yorkshire and The Humber
KP3536LL,DISPOSAL OF > 50 T/D NON-HAZARDOUS WASTE (> 100 T/D IF ONLY AD) INVOLVING PHYSICO-CHEMICAL TREATMENT ,Yorkshire Water Services Limited,Neily Wwtw New Mill Road Holmfirth West Yorkshire,HD9 7AZ,414690.0,411650.0,Yorkshire,Controlled Waters,"Indeno(1,2,3-cd)pyrene",1.0,0.0,Biowaste Treatment,Biowaste Treatment,13,1,1,0,,53.601213129365455,-1.7794903945205673,Yorkshire and The Humber
KP3036LW,DISPOSAL OF > 50 T/D NON-HAZARDOUS WASTE (> 100 T/D IF ONLY AD) INVOLVING PHYSICO-CHEMICAL TREATMENT ,Yorkshire Water Services Limited,Lemonroyd Wwtw Fleet Lane Oulton West Yorkshire,LS26 8AB,437930.0,427930.0,Yorkshire,Controlled Waters,"Indeno(1,2,3-cd)pyrene",1.0,0.0,Biowaste Treatment,Biowaste Treatment,13,1,1,0,,53.746371245686454,-1.4263373657801721,Yorkshire and The Humber
KP3836LT,DISPOSAL OF > 50 T/D NON-HAZARDOUS WASTE (> 100 T/D IF ONLY AD) INVOLVING PHYSICO-CHEMICAL TREATMENT ,Yorkshire Water Services Limited,South Elmsall Wwtw Chapel Lane Pontefract West Yorkshire,WF9 2SW,448170.0,410750.0,Yorkshire,Controlled Waters,"Indeno(1,2,3-cd)pyrene",1.0,0.0,Biowaste Treatment,Biowaste Treatment,13,1,1,0,,53.59112396394105,-1.2737371825727972,Yorkshire and The Humber
JP3030DD,TAR AND BITUMEN; DISTILLING >5 T/A  IN CONNECTION WITH MANUFACTURE,Industrial Chemicals Limited,Port Clarence Works Huntsman Bridge Port Clarence Middlesbrough Cleveland,TS2 1SD,451200.0,521300.0,North East,Controlled Waters,"Indeno(1,2,3-cd)pyrene",1.0,0.0,Chemicals,Chemicals,8,1,3,3,,54.584315376904016,-1.209305506178323,North East
JP3030DD,TAR AND BITUMEN; DISTILLING >5 T/A  IN CONNECTION WITH MANUFACTURE,Industrial Chemicals Limited,Port Clarence Works Huntsman Bridge Port Clarence Middlesbrough Cleveland,TS2 1SD,451200.0,521300.0,North East,Controlled Waters,Benzo(a)pyrene,1.0,0.0,Chemicals,Chemicals,8,1,3,3,,54.584315376904016,-1.209305506178323,North East
BU3485IS,ORGANIC CHEMICALS; HALOGEN CONTAINING COMPOUNDS EG HALOCARBONS,F2 CHEMICALS LTD,F2 Chemicals Limited Lea Lane Preston Lancashire,PR4 0RZ,347550.0,431250.0,Cumbria and Lancashire,Wastewater,Fluoranthene,0.1,0.0,Chemicals,Chemicals,0,3,3,3,,53.774930076533344,-2.797335665259419,North West
BS3590IE,ORGANIC CHEMICALS; HYDROCARBONS EG AROMATICS,Sabic UK Petrochemicals Limited,"Wilton Olefins Installation,Wilton Site PO Box 99",TS10 4YA,458200.0,521200.0,North East,Controlled Waters,Fluoranthene,0.1,0.0,Chemicals,Chemicals,8,1,3,3,,54.582661121205405,-1.101029346484906,North East
