OPERATOR NAME,NUMBER OF EMPLOYEES 2023,TOTAL REVENUE 2023 (£m),SOURCE
viridor waste management limited,1014,672.1,https://prod-cms.viridor.co.uk/media/k4rdnv34/23-vl-viridor-limited-financial-statements-signed-ey.pdf
thames water utilities ltd,7242,2265.2,https://www.thameswater.co.uk/media-library/home/about-us/investors/our-results/2024-reports/thames-water-annual-report-2023-24.pdf
united utilities water plc,5975,1824.4,https://www.unitedutilities.com/globalassets/documents/pdf/integrated-annual-report-2023.pdf
severn trent water ltd,6998,1812.673,https://www.severntrent.com/content/dam/stw/regulatory-library/severn-trent-water-annual-performance-report-revised-2023.pdf
esso petroleum company limited,1171,11210,"https://pomanda.com/company/00026538/esso-petroleum-company%2Climited
https://open.endole.co.uk/insight/company/00026538-esso-petroleum-company-limited"
anglian water,5295,1494.9,https://www.anglianwater.co.uk/siteassets/household/about-us/our-reports/annual-integrated-report-2024---financials.pdf
longs steel uk limited,becane british steel limited in 2019,,
northumbrian water ltd,3103,861.2,https://www.nwg.co.uk/globalassets/corporate/apr/2024/nwl-annual-report-and-financial-statements-2023-24.pdf
southern water,2480,792.5,https://www.southernwater.co.uk/media/batkxaqs/annual-report-and-financial-statements-2022-23.pdf
severn waste services limited,325,43.65,https://s3.eu-west-2.amazonaws.com/document-api-images-live.ch.gov.uk/docs/JUP4ylDF_cNYbQWWWQdBFiZY8oul_84ELNbVRpT6fGo/application-pdf?X-Amz-Algorithm=AWS4-HMAC-SHA256&X-Amz-Credential=ASIAWRGBDBV3G343V6AT%2F20250610%2Feu-west-2%2Fs3%2Faws4_request&X-Amz-Date=20250610T173548Z&X-Amz-Expires=60&X-Amz-Security-Token=IQoJb3JpZ2luX2VjEOf%2F%2F%2F%2F%2F%2F%2F%2F%2F%2FwEaCWV1LXdlc3QtMiJGMEQCIGBO%2FHFGZawjBNbVBXx08Cq6SnCLPLmvTMeNe7QPCGPLAiAopdA52zw9zTdSRkV9vgOXwnQ79LEg1cNFPuQXgDdbvyrEBQjA%2F%2F%2F%2F%2F%2F%2F%2F%2F%2F8BEAUaDDQ0OTIyOTAzMjgyMiIME92cZOifIX6ld65xKpgFPqUvJ0z1P9qSieNSJjxTH1tZxQ6r9EYXcH2gUY0XwjFMbb67OCQWC4uK%2F%2BiTq5D1jtCO5asp8KMSC3xoxFeBwigpjffhQYrFLHsANn6OyVXxywvDrZQzrpoX5IAvZZ5gDtDjo%2B0zSWp1La21pugFu%2F8S7MhQ0ObWDAJNGiv0TNSvk2UfXUkd2rQHORDn1cPBguA3rgGOUWh7FcHpOt5MJdkCYvFCMOHn4qqpZpbWxaWNrVv43PBZQabGjRKKObAC1J3ssRvEKIFpJkML4mO55jECUbf8W7bFBhVWyUZRlyaG1ko7UuWeh7iTyvq%2Fe8G7Kh0rr1xesQlaYpHx6%2Btia2nMbtsg1f7yd%2FhJuz%2BZrHEc9ZDneV19wkuWd9JMennZks2YM%2FDcqEoqKK3SP6qvetx5cLSv%2BxkAkzFTRYOzX%2BLap2Jl2Y6xkPQLN6dmB%2BPghjoIumxNyvdQx7nSyFksWLs7uDueqpK5BWjJxCFF%2ByC4Ps4mF3oXLUegFXkNPRNS2g9yuxAshh9XDfzm4OvCYKhTAzP70A1P4YaEtB3xpQbiBECx3elvOw3sV8HDvcxGfkdFakXg8XY1zEmeiOUzBgk13nHL8G8SUu68EDVG1Nw6rCO25wT%2Ftqz5Xr%2BM0A8XmIgYc4o0HqmL6H9l5QUNSveLq7ma%2F%2Fg%2F%2By15sZt2UVJ1GSPb%2FJZg9BhvetcMzyLv1resvsBuP66sOVEHhOCtn2ojbU9%2BxylQgAVJYSEcmSTJSxH8KJazsHUl2vyH1QQriZSGAH4dhIJ6CM0AWHsii6z2JJBrFv%2F2wpXNqCvH0BIeYYlvh6FBOXIeNW1kVWEhfrbtzb2aZLWJ7mgPL7S1kU3Drmn9Iizvb4G1f%2BxbH35Rqqi3H8RCezC%2BjaHCBjqyAVe7EK3pqUovWws49dxW%2BSpER%2FWuCfO%2BvUUxyQW5tzpl3JcUx0ElR50E%2BLwcNndytyhvnhYuQwwwh3mUcZz3BwaF4GES60aLThJ9yemsZAliRwEh5Jti6pvEVeOjhKHgxi1MdO0oVzMMwvUfLid0AWgrA5qepcZ2FMcPVED%2BVWAgIctSXfeOhAavaeyr1uQnjBC5XLyQr%2BuIRTch58iVjWT8xJDU7nhTMUDAlNLHkGxY5TQ%3D&X-Amz-SignedHeaders=host&response-content-disposition=inline%3Bfilename%3D%22companies_house_document.pdf%22&X-Amz-Signature=8bfd1196f0102cf145227908bb693684d15e8f1e27fd5b0a210ed485fe089500
