Source.Name,OPERATOR NAME,Employee 2023,Turnover 2023 ?,Employee 2022,Turnover 2022 ?,Employee 2021,Turnover 2021 ?,Employee 2020,Turnover 2020 ?,Employee 2019,Turnover 2019 ?,Employee 2018,Turnover 2018 ?,Employee 2017,Turnover 2017 ?,Employee 2016,Turnover 2016 ?,Source
Copper_Company_data_16-23.csv,3C Waste Limited ,25,2011000,28,18618000,33,26383000,46,21368000,48,32083000,49,32031000,54,39644000,64,69259000,https://app.endole.co.uk/company/02632581-3c-waste-limited?page=financials
Benzo_Company_data_16-23.csv,Anglian Water,5295,1495000000,5129,1400000000,4882,1352000000,4984,1420000000,4764,1355000000,4600,1248900000,4462,1227000000,4432,1185000000,https://app.endole.co.uk/company/02366656-anglian-water-services-limited?page=financials
Copper_Company_data_16-23.csv,biffa waste services ltd,6610,1188000000,5553,904900000,4686,715300000,4688,806300000,4268,701200000,4215,683600000,4469,651400000,4336,658500000,https://app.endole.co.uk/company/00946107-biffa-waste-services-limited?page=financials
Fluoranthene_Company_data_16-23.csv,Bradley Park Waste Management Limited,6,,8,,13,,19,,,,20,,23,,21,,https://app.endole.co.uk/company/06972355-bradley-park-waste-management-limited?page=financials
Copper_Company_data_16-23.csv,brisitsh sugar plc,1434,1037900000,1498,849800000,1578,698300000,1616,669500000,1639,556900000,1667,616800000,1717,633000000,1834,585400000,https://app.endole.co.uk/company/00315158-british-sugar-plc?page=financials
Benzo_Company_data_16-23.csv,British Steel Limited,4271,1259703000,4463,1732566000,4321,1463601000,3449,843864000,,,,,,,,,https://app.endole.co.uk/company/12303256-british-steel-limited?page=financials
Cypermethrin_Company_data_16-23.csv,Bulmer & Lumb Group Ltd,36,,34,,36,2560385,58,3067719,82,5574351,81,5631271,94,6081090,106,7821247,https://app.endole.co.uk/company/04229894-bulmer-lumb-group-limited?page=financials
Cypermethrin_Company_data_16-23.csv,Calder Textiles Limited,125,11696000,125,10595000,138,7050355,164,9393911,159,11559000,158,11698000,154,,146,9915485,https://app.endole.co.uk/company/01803068-calder-textiles-limited?page=financials
Copper_Company_data_16-23.csv,cleansing service group limited,615,106275000,589,98833000,561,89165000,594,77866000,542,78182000,512,63981000,495,63769000,482,59842000,https://app.endole.co.uk/company/00530446-cleansing-service-group-limited?page=financials
"Indeno(1,2,3-cd)pyrene_Company_data_16-23.csv",cumbria waste management ltd,198,36724000,180,22428000,170,18763000,172,20478000,162,19905000,161,15265000,148,14748000,141,14762000,https://app.endole.co.uk/company/02665973-cumbria-waste-management-ltd?page=financials
