Norman SusDat ID,Substance,CAS No.,Lowest PNEC Freshwater [??g//l],Date
NS00000004,Sulfamerazine,CAS_RN: 127-79-7,0.68,2024/4/11
NS00000009,Tiamulin,CAS_RN: 55297-95-5,1,2024/4/11
NS00000025,Lincomycin,CAS_RN: 154-21-2,2,2024/4/11
NS00000027,Lidocaine,CAS_RN: 137-58-6,600,2023/5/25
NS00000030,Sertraline,CAS_RN: 79617-96-2,0.0094,2024/4/11
NS00000031,Venlafaxine,CAS_RN: 93413-69-5,0.88,2024/4/11
NS00000035,Citalopram,CAS_RN: 59729-33-8,16,2018/10/3
NS00000036,Olanzapine,CAS_RN: 132539-06-1,1.1,2023/5/25
NS00000037,Paroxetine,CAS_RN: 61869-08-7,20,2018/10/3
NS00000038,Clomipramine,CAS_RN: 303-49-1,0.03,2024/4/11
NS00000043,Amlodipine,CAS_RN: 88150-42-9,0.23,2018/10/3
NS00000055,2-Methyl-4-amino-6-methoxy-s-triazine,CAS_RN: 1668-54-8,0.93,2024/4/11
NS00000057,"6-Chloro-1,3,5-triazine-2,4-diamine",CAS_RN: 3397-62-4,0.6,2024/4/11
NS00000061,"N,N'-Dimethylimidazolidinone",CAS_RN: 80-73-9,100,2018/10/3
NS00000063,Omethoate,CAS_RN: 1113-02-6,0.004,2018/10/3
NS00000064,Acephate,CAS_RN: 30560-19-1,57,2024/4/11
NS00000066,Fenthion,CAS_RN: 55-38-9,0.004,2018/10/3
NS00000067,Acetochlor,CAS_RN: 34256-82-1,0.013,2024/4/11
NS00000068,Napropamide,CAS_RN: 15299-99-7,5.1,2024/4/11
NS00000069,Desmedipham,CAS_RN: 13684-56-5,0.67,2024/4/11
NS00000077,"3,4-Dichloroaniline",CAS_RN: 95-76-1,0.2,2024/4/11
NS00000083,Aldicarb,CAS_RN: 116-06-3,0.1,2024/4/11
NS00000085,Aldicarb sulfoxide,CAS_RN: 1646-87-3,0.69,2024/4/11
NS00000096,Bifenox,CAS_RN: 42576-02-3,0.012,2024/4/11
NS00000097,Bitertanol,CAS_RN: 55179-31-2,0.76,2024/4/11
NS00000099,Budesonide,CAS_RN: 51333-22-3,56,2023/5/25
