AUTHORISATION ID / PERMIT ID,ACTIVITY DESCRIPTION,OPERATOR NAME,SITE ADDRESS,SITE POSTCODE,EASTING,NORTHING,EA AREA NAME,ROUTE NAME,SUBSTANCE NAME,REPORTING THRESHOLD (kg),QUANTITY RELEASED (kg),REGULATED INDUSTRY SECTOR,REGULATED INDUSTRY SUB SECTOR,PNEC (??g/L),Latitude,Longitude,REGION
VP3130BK,"WASTE LANDFILLING; >10 T/D WITH CAPACITY >25,000T EXCLUDING INERT WASTE",ALAB ENVIRONMENTAL SERVICES LIMITED,NETTLETON BOTTOM QUARRY Rothwell Lincolnshire,LN7 6SR,512730,397880,Lincolnshire and Northamptonshire,Controlled Waters,"Indeno(1,2,3-cd)pyrene",1,0,Landfill,Non Hazardous Landfill,,53.46560447,-0.303351536,East Midlands
VP3130BK,"WASTE LANDFILLING; >10 T/D WITH CAPACITY >25,000T EXCLUDING INERT WASTE",ALAB ENVIRONMENTAL SERVICES LIMITED,NETTLETON BOTTOM QUARRY Rothwell Lincolnshire,LN7 6SR,512730,397880,Lincolnshire and Northamptonshire,Controlled Waters,Fluoranthene,0.1,0,Landfill,Non Hazardous Landfill,,53.46560447,-0.303351536,East Midlands
VP3130BK,"WASTE LANDFILLING; >10 T/D WITH CAPACITY >25,000T EXCLUDING INERT WASTE",ALAB ENVIRONMENTAL SERVICES LIMITED,NETTLETON BOTTOM QUARRY Rothwell Lincolnshire,LN7 6SR,512730,397880,Lincolnshire and Northamptonshire,Controlled Waters,Heptachlor,0.1,0,Landfill,Non Hazardous Landfill,,53.46560447,-0.303351536,East Midlands
VP3130BK,"WASTE LANDFILLING; >10 T/D WITH CAPACITY >25,000T EXCLUDING INERT WASTE",ALAB ENVIRONMENTAL SERVICES LIMITED,NETTLETON BOTTOM QUARRY Rothwell Lincolnshire,LN7 6SR,512730,397880,Lincolnshire and Northamptonshire,Controlled Waters,Benzo(a)pyrene,1,0,Landfill,Non Hazardous Landfill,,53.46560447,-0.303351536,East Midlands
VP3130BK,"WASTE LANDFILLING; >10 T/D WITH CAPACITY >25,000T EXCLUDING INERT WASTE",ALAB ENVIRONMENTAL SERVICES LIMITED,NETTLETON BOTTOM QUARRY Rothwell Lincolnshire,LN7 6SR,512730,397880,Lincolnshire and Northamptonshire,Controlled Waters,Cypermethrin,0.005,0,Landfill,Non Hazardous Landfill,1.30E-05,53.46560447,-0.303351536,East Midlands
LP3533LJ,LOADING/STORAGE/TREATMENT ETC OF CRUDE OIL,Crude Oil Terminals (Humber) Limited,Crude Oil terminals Ltd Tetney Oil Terminal Tetney Oil Terminal Tetney Lock Road Tetney Lincolnshire,DN36 5NX,532830,402210,Lincolnshire and Northamptonshire,Controlled Waters,"Indeno(1,2,3-cd)pyrene",1,0,Refineries & Fuel,Refineries & Fuel,,53.49982028,0.00106907,East Midlands
LP3533LJ,LOADING/STORAGE/TREATMENT ETC OF CRUDE OIL,Crude Oil Terminals (Humber) Limited,Crude Oil terminals Ltd Tetney Oil Terminal Tetney Oil Terminal Tetney Lock Road Tetney Lincolnshire,DN36 5NX,532830,402210,Lincolnshire and Northamptonshire,Controlled Waters,Fluoranthene,0.1,0,Refineries & Fuel,Refineries & Fuel,,53.49982028,0.00106907,East Midlands
LP3533LJ,LOADING/STORAGE/TREATMENT ETC OF CRUDE OIL,Crude Oil Terminals (Humber) Limited,Crude Oil terminals Ltd Tetney Oil Terminal Tetney Oil Terminal Tetney Lock Road Tetney Lincolnshire,DN36 5NX,532830,402210,Lincolnshire and Northamptonshire,Controlled Waters,Benzo(a)pyrene,1,0,Refineries & Fuel,Refineries & Fuel,,53.49982028,0.00106907,East Midlands
PP3630BC,"WASTE LANDFILLING; >10 T/D WITH CAPACITY >25,000T EXCLUDING INERT WASTE",Lincwaste Ltd,Kenwick Landfill London Road Lincolnshire,LN11 9QP,533110,386420,Lincolnshire and Northamptonshire,Controlled Waters,Fluoranthene,0.1,0,Landfill,Non Hazardous Landfill,,53.35790763,-0.001378729,East Midlands
PP3630BC,"WASTE LANDFILLING; >10 T/D WITH CAPACITY >25,000T EXCLUDING INERT WASTE",Lincwaste Ltd,Kenwick Landfill London Road Lincolnshire,LN11 9QP,533110,386420,Lincolnshire and Northamptonshire,Controlled Waters,Benzo(a)pyrene,1,0,Landfill,Non Hazardous Landfill,,53.35790763,-0.001378729,East Midlands
AWNNF13399,,Anglian Water,Broadholme STW,,494150,268750,Lincolnshire and Northamptonshire,Controlled Waters,Fluoranthene,0.1,0.16,Water Industry,Water Industry,,52.3088025,-0.620468401,East Midlands
AWNNF13399,,Anglian Water,Broadholme STW,,494150,268750,Lincolnshire and Northamptonshire,Controlled Waters,"Indeno(1,2,3-cd)pyrene",1,0,Water Industry,Water Industry,,52.3088025,-0.620468401,East Midlands
AWNNF13399,,Anglian Water,Broadholme STW,,494150,268750,Lincolnshire and Northamptonshire,Controlled Waters,Benzo(a)pyrene,1,0,Water Industry,Water Industry,,52.3088025,-0.620468401,East Midlands
AW5NF5179,,Anglian Water,Corby STW,,490600,288900,Lincolnshire and Northamptonshire,Controlled Waters,Fluoranthene,0.1,0,Water Industry,Water Industry,,52.4905002,-0.667077027,East Midlands
AW5NF5179,,Anglian Water,Corby STW,,490600,288900,Lincolnshire and Northamptonshire,Controlled Waters,"Indeno(1,2,3-cd)pyrene",1,0,Water Industry,Water Industry,,52.4905002,-0.667077027,East Midlands
AW5NF5179,,Anglian Water,Corby STW,,490600,288900,Lincolnshire and Northamptonshire,Controlled Waters,Benzo(a)pyrene,1,0,Water Industry,Water Industry,,52.4905002,-0.667077027,East Midlands
AWNNF13052,,Anglian Water,Great Billing STW,,483280,261550,Lincolnshire and Northamptonshire,Controlled Waters,Fluoranthene,0.1,0.22,Water Industry,Water Industry,,52.24584109,-0.78163915,East Midlands
AWNNF13052,,Anglian Water,Great Billing STW,,483280,261550,Lincolnshire and Northamptonshire,Controlled Waters,"Indeno(1,2,3-cd)pyrene",1,1.23,Water Industry,Water Industry,,52.24584109,-0.78163915,East Midlands
AWNNF13052,,Anglian Water,Great Billing STW,,483280,261550,Lincolnshire and Northamptonshire,Controlled Waters,Benzo(a)pyrene,1,0,Water Industry,Water Industry,,52.24584109,-0.78163915,East Midlands
BP3734YG,"PAPER, PULP AND BOARD; PRODUCING PAPER/BOARD >20T/D",Sidcot Group Ltd,SCA Chesterfield Paper Mill Goyt Side Road Derbyshire,S40 2PH,436850,370600,Yorkshire,Wastewater,Cypermethrin,0.005,0,Paper and textiles,Paper & Pulp,1.30E-05,53.23116628,-1.449423475,East Midlands
ANNNF2073,,Anglian Water,Lincoln(Canwick) STW,,499810,370880,Lincolnshire and Northamptonshire,Controlled Waters,Fluoranthene,0.1,0.1,Water Industry,Water Industry,,53.22559823,-0.506398278,East Midlands
ANNNF2073,,Anglian Water,Lincoln(Canwick) STW,,499810,370880,Lincolnshire and Northamptonshire,Controlled Waters,"Indeno(1,2,3-cd)pyrene",1,0,Water Industry,Water Industry,,53.22559823,-0.506398278,East Midlands
ANNNF2073,,Anglian Water,Lincoln(Canwick) STW,,499810,370880,Lincolnshire and Northamptonshire,Controlled Waters,Benzo(a)pyrene,1,0,Water Industry,Water Industry,,53.22559823,-0.506398278,East Midlands
T/64/45170/R,,SEVERN TRENT WATER LTD,Stoke Bardolph STW Nottingham,NG14 5HL,464730,342220,East Midlands,Controlled Waters,Fluoranthene,0.1,0.52,Water Industry,Water Industry,,52.97343473,-1.037524955,East Midlands
T/64/45170/R,,SEVERN TRENT WATER LTD,Stoke Bardolph STW Nottingham,NG14 5HL,464730,342220,East Midlands,Controlled Waters,"Indeno(1,2,3-cd)pyrene",1,2.94,Water Industry,Water Industry,,52.97343473,-1.037524955,East Midlands
T/64/45170/R,,SEVERN TRENT WATER LTD,Stoke Bardolph STW Nottingham,NG14 5HL,464730,342220,East Midlands,Controlled Waters,Benzo(a)pyrene,1,2.27,Water Industry,Water Industry,,52.97343473,-1.037524955,East Midlands
T/53/45014/R,,SEVERN TRENT WATER LTD,Wanlip Sewage Treatment Works Fillingate Wanlip Leicester Leicestershire,LE7 4PF,459760,311500,East Midlands,Controlled Waters,Fluoranthene,0.1,0.44,Water Industry,Water Industry,,52.69788886,-1.117140761,East Midlands
T/53/45014/R,,SEVERN TRENT WATER LTD,Wanlip Sewage Treatment Works Fillingate Wanlip Leicester Leicestershire,LE7 4PF,459760,311500,East Midlands,Controlled Waters,"Indeno(1,2,3-cd)pyrene",1,2.48,Water Industry,Water Industry,,52.69788886,-1.117140761,East Midlands
T/53/45014/R,,SEVERN TRENT WATER LTD,Wanlip Sewage Treatment Works Fillingate Wanlip Leicester Leicestershire,LE7 4PF,459760,311500,East Midlands,Controlled Waters,Benzo(a)pyrene,1,1.92,Water Industry,Water Industry,,52.69788886,-1.117140761,East Midlands
T/48/12074/R,,SEVERN TRENT WATER LTD,Derby Sewage Treatment Works Chp Plant Megaloughton Lane Spondon Derby Derbyshire,DE21 7BR,438830,343470,East Midlands,Controlled Waters,Fluoranthene,0.1,0.29,Water Industry,Water Industry,,52.98716657,-1.423035169,East Midlands
T/48/12074/R,,SEVERN TRENT WATER LTD,Derby Sewage Treatment Works Chp Plant Megaloughton Lane Spondon Derby Derbyshire,DE21 7BR,438830,343470,East Midlands,Controlled Waters,"Indeno(1,2,3-cd)pyrene",1,1.63,Water Industry,Water Industry,,52.98716657,-1.423035169,East Midlands
T/48/12074/R,,SEVERN TRENT WATER LTD,Derby Sewage Treatment Works Chp Plant Megaloughton Lane Spondon Derby Derbyshire,DE21 7BR,438830,343470,East Midlands,Controlled Waters,Benzo(a)pyrene,1,1.26,Water Industry,Water Industry,,52.98716657,-1.423035169,East Midlands
AEETS12128,,Anglian Water,Cliff Quay(Ipswich) STW,,617200,241900,East Anglia,Controlled Waters,Fluoranthene,0.1,0,Water Industry,Water Industry,,52.03294922,1.16506007,East of England
AEETS12128,,Anglian Water,Cliff Quay(Ipswich) STW,,617200,241900,East Anglia,Controlled Waters,"Indeno(1,2,3-cd)pyrene",1,0,Water Industry,Water Industry,,52.03294922,1.16506007,East of England
AEETS12128,,Anglian Water,Cliff Quay(Ipswich) STW,,617200,241900,East Anglia,Controlled Waters,Benzo(a)pyrene,1,0,Water Industry,Water Industry,,52.03294922,1.16506007,East of England
VP3838LP,DISPOSAL OR RECOVERY OF HAZARDOUS WASTE WITH A CAPACITY EXCEEDING 10 TONNES PER DAY INVOLVING PHYSICO-CHEMICAL TREATMENT,Oikos Storage Limited,Hole Haven Wharf Haven Road Canvey Island Essex,SS8 0NR,577850,182090,East Anglia,Controlled Waters,"Indeno(1,2,3-cd)pyrene",1,0,Waste Treatment,Hazardous,,51.50974637,0.561480306,East of England
VP3838LP,DISPOSAL OR RECOVERY OF HAZARDOUS WASTE WITH A CAPACITY EXCEEDING 10 TONNES PER DAY INVOLVING PHYSICO-CHEMICAL TREATMENT,Oikos Storage Limited,Hole Haven Wharf Haven Road Canvey Island Essex,SS8 0NR,577850,182090,East Anglia,Controlled Waters,Fluoranthene,0.1,0,Waste Treatment,Hazardous,,51.50974637,0.561480306,East of England
VP3838LP,DISPOSAL OR RECOVERY OF HAZARDOUS WASTE WITH A CAPACITY EXCEEDING 10 TONNES PER DAY INVOLVING PHYSICO-CHEMICAL TREATMENT,Oikos Storage Limited,Hole Haven Wharf Haven Road Canvey Island Essex,SS8 0NR,577850,182090,East Anglia,Controlled Waters,Heptachlor,0.1,0,Waste Treatment,Hazardous,,51.50974637,0.561480306,East of England
VP3838LP,DISPOSAL OR RECOVERY OF HAZARDOUS WASTE WITH A CAPACITY EXCEEDING 10 TONNES PER DAY INVOLVING PHYSICO-CHEMICAL TREATMENT,Oikos Storage Limited,Hole Haven Wharf Haven Road Canvey Island Essex,SS8 0NR,577850,182090,East Anglia,Controlled Waters,Benzo(a)pyrene,1,0,Waste Treatment,Hazardous,,51.50974637,0.561480306,East of England
VP3838LP,DISPOSAL OR RECOVERY OF HAZARDOUS WASTE WITH A CAPACITY EXCEEDING 10 TONNES PER DAY INVOLVING PHYSICO-CHEMICAL TREATMENT,Oikos Storage Limited,Hole Haven Wharf Haven Road Canvey Island Essex,SS8 0NR,577850,182090,East Anglia,Controlled Waters,Cypermethrin,0.005,0,Waste Treatment,Hazardous,1.30E-05,51.50974637,0.561480306,East of England
JP3734JP,INORGANIC CHEMICALS; NON METALS ETC EG CALCIUM CARBIDE,Coryton Asset Limited,Thames Enterprise Park Thames Oilport The Manorway Essex,SS17 9LL,575260,182580,East Anglia,Controlled Waters,Fluoranthene,0.1,0,Chemicals,Chemicals,,51.51495651,0.524440255,East of England
JP3734JP,INORGANIC CHEMICALS; NON METALS ETC EG CALCIUM CARBIDE,Coryton Asset Limited,Thames Enterprise Park Thames Oilport The Manorway Essex,SS17 9LL,575260,182580,East Anglia,Controlled Waters,Benzo(a)pyrene,1,0,Chemicals,Chemicals,,51.51495651,0.524440255,East of England
PP3135SU,"WASTE LANDFILLING; >10 T/D WITH CAPACITY >25,000T EXCLUDING INERT WASTE",Tarmac Aggregates Limited,Brittons Hall Farm Landfill Site Chignal St James Essex,CM1 4LT,565960,210120,East Anglia,Wastewater,Heptachlor,0.1,0,Landfill,Non Hazardous Landfill,,51.76516491,0.403589133,East of England
NP3497NN,DISPOSAL OF > 50 T/D NON-HAZARDOUS WASTE (> 100 T/D IF ONLY AD) INVOLVING PHYSICO-CHEMICAL TREATMENT ,Viridor Waste (Thames) Limited,Maple Lodge Denham Way Hertfordshire,WD3 9SQ,504200,192280,Hertfordshire and North London,Wastewater,Fluoranthene,0.1,0,Biowaste,Biowaste Treatment,,51.61970755,-0.496289561,East of England
NP3497NN,DISPOSAL OF > 50 T/D NON-HAZARDOUS WASTE (> 100 T/D IF ONLY AD) INVOLVING PHYSICO-CHEMICAL TREATMENT ,Viridor Waste (Thames) Limited,Maple Lodge Denham Way Hertfordshire,WD3 9SQ,504200,192280,Hertfordshire and North London,Wastewater,"Indeno(1,2,3-cd)pyrene",1,0,Biowaste,Biowaste Treatment,,51.61970755,-0.496289561,East of England
AW5NF5178,,Anglian Water,Flag Fen STW,,522140,298140,Lincolnshire and Northamptonshire,Controlled Waters,Fluoranthene,0.1,0.19,Water Industry,Water Industry,,52.56738396,-0.199381261,East of England
