AUTHORISATION ID / PERMIT ID,ACTIVITY DESCRIPTION,OPERATOR NAME,SITE ADDRESS,SITE POSTCODE,EASTING,NORTHING,EA AREA NAME,ROUTE NAME,SUBSTANCE NAME,REPORTING THRESHOLD (kg),QUANTITY RELEASED (kg),REGULATED INDUSTRY SECTOR,REGULATED INDUSTRY SUB SECTOR,EA AREA NAME LABEL,ROUTE NAME LABEL,REGULATED INDUSTRY SECTOR LABEL,REGULATED INDUSTRY SUB SECTOR LABEL,PNEC (??g/L),Latitude,Longitude,REGION
RP3738ZK,DISPOSAL OF > 50 T/D NON-HAZARDOUS WASTE (> 100 T/D IF ONLY AD) INVOLVING PHYSICO-CHEMICAL TREATMENT ,Suez Recycling And Recovery Uk Ltd,"Enderby Leachate Treatment Plant,Enderby Landfill Site Mill Hill Leicestershire",LE9 5AL,453800,302600,East Midlands,Wastewater,"Indeno(1,2,3-cd)pyrene",1,0,Landfill,other,3,3,7,30,,52.61851204,-1.206772916,East Midlands
RP3738ZK,DISPOSAL OF > 50 T/D NON-HAZARDOUS WASTE (> 100 T/D IF ONLY AD) INVOLVING PHYSICO-CHEMICAL TREATMENT ,Suez Recycling And Recovery Uk Ltd,"Enderby Leachate Treatment Plant,Enderby Landfill Site Mill Hill Leicestershire",LE9 5AL,453800,302600,East Midlands,Wastewater,Benzo(a)pyrene,1,0,Landfill,other,3,3,7,30,,52.61851204,-1.206772916,East Midlands
RP3738ZK,DISPOSAL OF > 50 T/D NON-HAZARDOUS WASTE (> 100 T/D IF ONLY AD) INVOLVING PHYSICO-CHEMICAL TREATMENT ,Suez Recycling And Recovery Uk Ltd,"Enderby Leachate Treatment Plant,Enderby Landfill Site Mill Hill Leicestershire",LE9 5AL,453800,302600,East Midlands,Wastewater,Fluoranthene,0.1,0,Landfill,other,3,3,7,30,,52.61851204,-1.206772916,East Midlands
VP3130BK,"WASTE LANDFILLING; >10 T/D WITH CAPACITY >25,000T EXCLUDING INERT WASTE",ALAB ENVIRONMENTAL SERVICES LIMITED,NETTLETON BOTTOM QUARRY Rothwell Lincolnshire,LN7 6SR,512730,397880,Lincolnshire and Northamptonshire,Controlled Waters,"Indeno(1,2,3-cd)pyrene",1,0,Landfill,Non Hazardous Landfill,7,1,7,17,,53.46560447,-0.303351536,East Midlands
VP3130BK,"WASTE LANDFILLING; >10 T/D WITH CAPACITY >25,000T EXCLUDING INERT WASTE",ALAB ENVIRONMENTAL SERVICES LIMITED,NETTLETON BOTTOM QUARRY Rothwell Lincolnshire,LN7 6SR,512730,397880,Lincolnshire and Northamptonshire,Controlled Waters,Fluoranthene,0.1,0,Landfill,Non Hazardous Landfill,7,1,7,17,,53.46560447,-0.303351536,East Midlands
VP3130BK,"WASTE LANDFILLING; >10 T/D WITH CAPACITY >25,000T EXCLUDING INERT WASTE",ALAB ENVIRONMENTAL SERVICES LIMITED,NETTLETON BOTTOM QUARRY Rothwell Lincolnshire,LN7 6SR,512730,397880,Lincolnshire and Northamptonshire,Controlled Waters,Heptachlor,0.1,0,Landfill,Non Hazardous Landfill,7,1,7,17,,53.46560447,-0.303351536,East Midlands
VP3130BK,"WASTE LANDFILLING; >10 T/D WITH CAPACITY >25,000T EXCLUDING INERT WASTE",ALAB ENVIRONMENTAL SERVICES LIMITED,NETTLETON BOTTOM QUARRY Rothwell Lincolnshire,LN7 6SR,512730,397880,Lincolnshire and Northamptonshire,Controlled Waters,Benzo(a)pyrene,1,0,Landfill,Non Hazardous Landfill,7,1,7,17,,53.46560447,-0.303351536,East Midlands
VP3130BK,"WASTE LANDFILLING; >10 T/D WITH CAPACITY >25,000T EXCLUDING INERT WASTE",ALAB ENVIRONMENTAL SERVICES LIMITED,NETTLETON BOTTOM QUARRY Rothwell Lincolnshire,LN7 6SR,512730,397880,Lincolnshire and Northamptonshire,Controlled Waters,Cypermethrin,0.005,0,Landfill,Non Hazardous Landfill,7,1,7,17,1.30E-05,53.46560447,-0.303351536,East Midlands
PP3630BC,"WASTE LANDFILLING; >10 T/D WITH CAPACITY >25,000T EXCLUDING INERT WASTE",Lincwaste Ltd,Kenwick Landfill London Road Lincolnshire,LN11 9QP,533110,386420,Lincolnshire and Northamptonshire,Wastewater,"Indeno(1,2,3-cd)pyrene",1,0,Landfill,Non Hazardous Landfill,7,3,7,17,,53.35790763,-0.001378729,East Midlands
PP3630BC,"WASTE LANDFILLING; >10 T/D WITH CAPACITY >25,000T EXCLUDING INERT WASTE",Lincwaste Ltd,Kenwick Landfill London Road Lincolnshire,LN11 9QP,533110,386420,Lincolnshire and Northamptonshire,Wastewater,Benzo(a)pyrene,1,0,Landfill,Non Hazardous Landfill,7,3,7,17,,53.35790763,-0.001378729,East Midlands
