OPERATOR NAME,Year,SUBSTANCE NAME,Total Emission (kg),Employee,Turnover,Turnover_million,REGULATED INDUSTRY SECTOR,REGULATED INDUSTRY SUB SECTOR,log_emission,log_employee,log_turnover,Sector,SubSector
anglian water,2016,Benzo(a)pyrene,1.15,4432,1185000000,1185,Water Industry,Water Industry,0.139761942,8.396606228,7.077498054,Water Industry,Water Industry
anglian water,2016,Copper,1672.4,4432,1185000000,1185,Water Industry,Water Industry,7.422014999,8.396606228,7.077498054,Water Industry,Water Industry
anglian water,2016,Fluoranthene,1.59,4432,1185000000,1185,Water Industry,Water Industry,0.463734016,8.396606228,7.077498054,Water Industry,Water Industry
anglian water,2016,"Indeno(1,2,3-cd)pyrene",6.08,4432,1185000000,1185,Water Industry,Water Industry,1.805004696,8.396606228,7.077498054,Water Industry,Water Industry
anglian water,2017,Copper,1295.6,4462,1227000000,1227,Water Industry,Water Industry,7.166729187,8.403352375,7.112327445,Water Industry,Water Industry
anglian water,2017,Fluoranthene,1.68,4462,1227000000,1227,Water Industry,Water Industry,0.518793793,8.403352375,7.112327445,Water Industry,Water Industry
anglian water,2017,"Indeno(1,2,3-cd)pyrene",5.62,4462,1227000000,1227,Water Industry,Water Industry,1.726331664,8.403352375,7.112327445,Water Industry,Water Industry
anglian water,2018,Copper,1026,4600,1248900000,1248.9,Water Industry,Water Industry,6.933423026,8.433811582,7.130018443,Water Industry,Water Industry
anglian water,2018,Fluoranthene,1.88,4600,1248900000,1248.9,Water Industry,Water Industry,0.631271777,8.433811582,7.130018443,Water Industry,Water Industry
anglian water,2018,"Indeno(1,2,3-cd)pyrene",5.92,4600,1248900000,1248.9,Water Industry,Water Industry,1.778336449,8.433811582,7.130018443,Water Industry,Water Industry
anglian water,2019,Benzo(a)pyrene,1.06,4764,1355000000,1355,Water Industry,Water Industry,0.058268908,8.46884293,7.211556733,Water Industry,Water Industry
anglian water,2019,Copper,1028.1,4764,1355000000,1355,Water Industry,Water Industry,6.935467718,8.46884293,7.211556733,Water Industry,Water Industry
anglian water,2019,Fluoranthene,2.02,4764,1355000000,1355,Water Industry,Water Industry,0.703097511,8.46884293,7.211556733,Water Industry,Water Industry
anglian water,2019,"Indeno(1,2,3-cd)pyrene",7.17,4764,1355000000,1355,Water Industry,Water Industry,1.969905655,8.46884293,7.211556733,Water Industry,Water Industry
anglian water,2020,Benzo(a)pyrene,3.24,4984,1420000000,1420,Water Industry,Water Industry,1.17557333,8.51398806,7.258412151,Water Industry,Water Industry
anglian water,2020,Copper,1196.3,4984,1420000000,1420,Water Industry,Water Industry,7.086988739,8.51398806,7.258412151,Water Industry,Water Industry
anglian water,2020,Fluoranthene,2.15,4984,1420000000,1420,Water Industry,Water Industry,0.765467842,8.51398806,7.258412151,Water Industry,Water Industry
anglian water,2020,"Indeno(1,2,3-cd)pyrene",7.59,4984,1420000000,1420,Water Industry,Water Industry,2.026831591,8.51398806,7.258412151,Water Industry,Water Industry
anglian water,2021,Benzo(a)pyrene,3.36,4882,1352000000,1352,Water Industry,Water Industry,1.211940974,8.493310251,7.209340257,Water Industry,Water Industry
anglian water,2021,Copper,1139.7,4882,1352000000,1352,Water Industry,Water Industry,7.038520349,8.493310251,7.209340257,Water Industry,Water Industry
anglian water,2021,Fluoranthene,2.04,4882,1352000000,1352,Water Industry,Water Industry,0.712949808,8.493310251,7.209340257,Water Industry,Water Industry
anglian water,2021,"Indeno(1,2,3-cd)pyrene",7.6,4882,1352000000,1352,Water Industry,Water Industry,2.028148247,8.493310251,7.209340257,Water Industry,Water Industry
anglian water,2022,Benzo(a)pyrene,1.01,5129,1400000000,1400,Water Industry,Water Industry,0.009950331,8.542665987,7.244227516,Water Industry,Water Industry
anglian water,2022,Copper,999.2,5129,1400000000,1400,Water Industry,Water Industry,6.906954959,8.542665987,7.244227516,Water Industry,Water Industry
anglian water,2022,Fluoranthene,1.71,5129,1400000000,1400,Water Industry,Water Industry,0.536493371,8.542665987,7.244227516,Water Industry,Water Industry
anglian water,2022,"Indeno(1,2,3-cd)pyrene",4.74,5129,1400000000,1400,Water Industry,Water Industry,1.556037136,8.542665987,7.244227516,Water Industry,Water Industry
anglian water,2023,Benzo(a)pyrene,3.45,5295,1495000000,1495,Water Industry,Water Industry,1.238374231,8.574518258,7.309881486,Water Industry,Water Industry
anglian water,2023,Copper,1019.3,5295,1495000000,1495,Water Industry,Water Industry,6.926871396,8.574518258,7.309881486,Water Industry,Water Industry
anglian water,2023,Fluoranthene,2.62,5295,1495000000,1495,Water Industry,Water Industry,0.963174318,8.574518258,7.309881486,Water Industry,Water Industry
anglian water,2023,"Indeno(1,2,3-cd)pyrene",8.95,5295,1495000000,1495,Water Industry,Water Industry,2.191653532,8.574518258,7.309881486,Water Industry,Water Industry
bradley park waste management limited,2020,Fluoranthene,0.13,19,,,Landfill,Non Hazardous Landfill,-2.040220829,2.944438979,,Landfill,Non Hazardous Landfill
bradley park waste management limited,2022,Fluoranthene,0.57,8,,,Landfill,Non Hazardous Landfill,-0.562118918,2.079441542,,Landfill,Non Hazardous Landfill
british steel limited,2020,Benzo(a)pyrene,7.18,3449,843864000,843.864,Metals,Ferrous,1.971299383,8.145839613,6.737991344,Metals,Ferrous
british steel limited,2020,Copper,72.81,3449,843864000,843.864,Metals,Ferrous,4.287853308,8.145839613,6.737991344,Metals,Ferrous
british steel limited,2020,Fluoranthene,2.75,3449,843864000,843.864,Metals,Ferrous,1.011600912,8.145839613,6.737991344,Metals,Ferrous
british steel limited,2020,"Indeno(1,2,3-cd)pyrene",4.04,3449,843864000,843.864,Metals,Ferrous,1.396244692,8.145839613,6.737991344,Metals,Ferrous
british steel limited,2021,Benzo(a)pyrene,6.62,4321,1463601000,1463.601,Metals,Ferrous,1.89009537,8.371242136,7.288655116,Metals,Ferrous
british steel limited,2021,Copper,52.07,4321,1463601000,1463.601,Metals,Ferrous,3.952588967,8.371242136,7.288655116,Metals,Ferrous
british steel limited,2021,Fluoranthene,0.44,4321,1463601000,1463.601,Metals,Ferrous,-0.820980552,8.371242136,7.288655116,Metals,Ferrous
british steel limited,2021,"Indeno(1,2,3-cd)pyrene",6.41,4321,1463601000,1463.601,Metals,Ferrous,1.857859271,8.371242136,7.288655116,Metals,Ferrous
british steel limited,2022,Benzo(a)pyrene,6.94,4463,1732566000,1732.566,Metals,Ferrous,1.937301775,8.403576465,7.457358826,Metals,Ferrous
british steel limited,2022,Copper,95.88,4463,1732566000,1732.566,Metals,Ferrous,4.56309741,8.403576465,7.457358826,Metals,Ferrous
british steel limited,2022,Fluoranthene,1.52,4463,1732566000,1732.566,Metals,Ferrous,0.418710335,8.403576465,7.457358826,Metals,Ferrous
british steel limited,2022,"Indeno(1,2,3-cd)pyrene",6.14,4463,1732566000,1732.566,Metals,Ferrous,1.814824742,8.403576465,7.457358826,Metals,Ferrous
british steel limited,2023,Benzo(a)pyrene,9.14,4271,1259703000,1259.703,Metals,Ferrous,2.212660385,8.359603271,7.138631258,Metals,Ferrous
british steel limited,2023,Copper,126.21,4271,1259703000,1259.703,Metals,Ferrous,4.837947186,8.359603271,7.138631258,Metals,Ferrous
